Title,Link
How would you improve Spotify?,https://www.mypminterview.com/p/how-would-you-improve-spotify-product
How to Answer Product Design Questions?,https://www.mypminterview.com/p/how-to-answer-product-design-questions
How would you solve Dog Poop problem?,https://www.mypminterview.com/p/product-design-solve-dog-poop-problem
How would you go about designing a new location-sharing app for Google?,https://www.mypminterview.com/p/google-product-design-new-location-sharing-app
Is there a user that is not well served by Amazon.com?,https://www.mypminterview.com/p/product-design-users-not-well-served-by-amazon
Design an ATM for the Blind,https://www.mypminterview.com/p/product-design-an-atm-for-the-blind
Design Facebook Movies,https://www.mypminterview.com/p/facebook-product-manager-mock-interview
Design a Vending Machine for the Blind people,https://www.mypminterview.com/p/design-a-vending-machine-for-the-blind-people
Design an app for the California’s Department of Motor Vehicles,https://www.mypminterview.com/p/google-product-design-app-california-dmv
Design and Monetize an ice-cream stand in Central Park,https://www.mypminterview.com/p/google-product-design-monetize-ice-cream-stand
Design a product to improve Teenage Health,https://www.mypminterview.com/p/design-product-improve-teenage-health
How to easily come up with User Pain Points?,https://www.mypminterview.com/p/how-to-come-up-with-user-pain-points-easily
How to easily Segment Users?,https://www.mypminterview.com/p/product-sense-how-to-easily-segment-users
How would you critique a product’s design?,https://www.mypminterview.com/p/how-would-you-critique-a-product-design
Common Mistakes in Answering Product Design Questions,https://www.mypminterview.com/p/product-design-questions-common-mistakes
How to Answer Behavioral Interview Screening Questions?,https://www.mypminterview.com/p/answer-behavioral-interview-screening-questions
Behavioral Interview Questions - Storytelling Framework,https://www.mypminterview.com/p/behavioral-interview-questions-storytelling
Why do you want to leave your current company?,https://www.mypminterview.com/p/why-do-you-want-to-leave-your-current-company
Why do you want to join our company?,https://www.mypminterview.com/p/behavioral-why-do-you-want-to-join-our-company
What are you looking for in your next role?,https://www.mypminterview.com/p/what-are-you-looking-for-in-your-next-role
How do you know a product is well-designed?,https://www.mypminterview.com/p/how-do-you-know-a-product-is-well-designed
What's the one thing that excites you the most about Product Management?,https://www.mypminterview.com/p/what-excites-you-about-product-management
What is your least favorite aspect of product management?,https://www.mypminterview.com/p/your-least-favorite-part-of-product-management
How do you take product decisions involving multiple stakeholders with consent?,https://www.mypminterview.com/p/how-do-you-take-product-decisions
How do you use research & data to guide your day-to-day decisions?,https://www.mypminterview.com/p/how-do-you-use-data-to-guide-your-decisions
What tools do you use in your day-to-day activities as a Product Manager?,https://www.mypminterview.com/p/product-management-tools-used-by-you-everyday
Which type of people do you like to work with?,https://www.mypminterview.com/p/which-type-of-people-do-you-like-to-work-with
Do you have any questions for me?,https://www.mypminterview.com/p/behavioral-do-you-have-any-questions-for-me
How do you manage conflicts in your team?,https://www.mypminterview.com/p/how-do-you-manage-conflicts-in-your-team
How would you keep developers in your team motivated to turn out quality work?,https://www.mypminterview.com/p/how-do-you-motivate-your-team
What are your Strengths and Weaknesses?,https://www.mypminterview.com/p/what-are-your-strengths-and-weaknesses
Tell me about a time you had to make a decision to make short-term sacrifices for long-term gains.,https://www.mypminterview.com/p/short-term-sacrifies-for-long-term-gain
How do you say NO to a feature/functionality?,https://www.mypminterview.com/p/behavioral-interview-how-to-say-no-to-a-feature
How will you manage a team where team members are more experienced than you?,https://www.mypminterview.com/p/behavioral-manage-team-more-experienced-than-you
How would you Earn the Trust of a Group?,https://www.mypminterview.com/p/how-would-you-earn-trust-of-a-group
How do you define a Good PM vs. a Bad PM?,https://www.mypminterview.com/p/behavioral-define-good-and-bad-product-manager
How do you Prioritize your Work as a Product Manager?,https://www.mypminterview.com/p/behavioral-how-do-you-prioritize-your-work
Which apps do you use on your cellphone on a daily basis and why?,https://www.mypminterview.com/p/apps-you-use-daily-on-your-cellphone-and-why
Estimate the Total number of Videos on YouTube,https://www.mypminterview.com/p/estimate-total-number-of-videos-on-youtube?s=w
Estimate Google AdSense revenue,https://www.mypminterview.com/p/product-estimate-google-adsense-revenue
Estimate Mobile Ad Revenue for Facebook,https://www.mypminterview.com/p/product-estimate-mobile-ad-revenue-for-facebook
How much storage space do you need to store all the information from Google maps?,https://www.mypminterview.com/p/estimation-storage-space-to-store-google-maps
Estimate the Number of Self-Driving Cars,https://www.mypminterview.com/p/estimate-number-of-self-driving-cars
Estimation: How much do Gmail users cost Google?,https://www.mypminterview.com/p/how-much-do-gmail-users-cost-google
Estimate the Weight of the Empire State Building,https://www.mypminterview.com/p/estimate-the-weight-of-the-empire-state-building
Estimate Airbnb's Revenue,https://www.mypminterview.com/p/estimate-airbnb-yearly-revenue
Estimate the Area of India,https://www.mypminterview.com/p/estimate-the-area-of-india
Estimate the Number of Red Color Swift Cars in Delhi,https://www.mypminterview.com/p/estimate-number-of-red-swift-cars-in-delhi
Estimate the Number of Tennis balls you can fit in an Aircraft,https://www.mypminterview.com/p/estimate-number-of-tennis-balls-in-an-aircraft
Estimate the Total Length of Roads in your City,https://www.mypminterview.com/p/estimate-lenght-of-roads-in-your-city
Estimate the Market Size of Disposable Diapers in India,https://www.mypminterview.com/p/estimate-market-size-of-disposable-diapers
Estimate the Number of Refrigerators sold in India every year,https://www.mypminterview.com/p/estimate-number-of-refrigerators-sold-in-india
How much does a Salon owner make in India?,https://www.mypminterview.com/p/how-much-does-a-salon-owner-make-in-india
How many dentists are there in New York?,https://www.mypminterview.com/p/estimate-the-number-of-dentists-in-new-york?s=w
Estimate the storage space is required to host all the images of Google Street View,https://www.mypminterview.com/p/storage-space-to-store-google-street-view-images?s=w
Estimate the total number of Uber Rides,https://www.mypminterview.com/p/estimate-the-total-number-of-uber-rides
Estimate the Number of Queries Answered by Google per Second,https://www.mypminterview.com/p/estimate-the-total-queries-answered-by-google
Estimate the number of orders delivered by Swiggy,https://www.mypminterview.com/p/estimate-the-number-of-orders-delivered
How to Answer Product Metrics Questions?,https://www.mypminterview.com/p/pm-how-to-answer-product-metrics-questions
How would you set goals for Facebook Events?,https://www.mypminterview.com/p/product-execution-set-goals-for-facebook-events
How would you measure the success of Gmail?,https://www.mypminterview.com/p/product-metric-measure-the-success-of-gmail
How would you measure the success of Amazon Echo?,https://www.mypminterview.com/p/measure-the-success-of-amazon-echo
How would you measure the success of Facebook Stories?,https://www.mypminterview.com/p/measure-the-success-of-facebook-stories
Success Metrics for Airbnb’s Experiences feature,https://www.mypminterview.com/p/success-metrics-for-airbnb-experience-feature
How would you evaluate the success of a Payment Gateway Product?,https://www.mypminterview.com/p/success-metrics-of-payment-gateway-product
How would you measure the success of Google Photos?,https://www.mypminterview.com/p/product-success-metrics-for-google-photos
Measure the success of Facebook Save feature,https://www.mypminterview.com/p/measure-success-of-facebook-save-feature
Common Mistakes to avoid while Answering Product Metrics Questions,https://www.mypminterview.com/p/product-metrics-questions-common-mistakes
Product Pricing,https://www.mypminterview.com/p/product-pricing-how-would-you-price-a-product
How to Answer Product Pricing Questions?,https://www.mypminterview.com/p/how-to-answer-product-pricing-questions
How would you price an Apple Home device?,https://www.mypminterview.com/p/apple-pm-interview-pricing-apple-home-device
Common Mistakes to avoid while Answering Product Pricing Questions,https://www.mypminterview.com/p/product-pricing-common-mistakes-to-avoid
How would you launch Google’s driverless car service?,https://www.mypminterview.com/p/product-launch-google-driverless-car-service
Common Mistakes to avoid while Answering Product Launch Questions,https://www.mypminterview.com/p/product-launch-questions-common-mistakes
How to Answer Product Manager Technical Interview Questions?,https://www.mypminterview.com/p/how-to-answer-pm-technical-interview-questions
What happens when you type a URL in the browser?,https://www.mypminterview.com/p/technical-pm-type-url-in-browser
How does TinyURL work?,https://www.mypminterview.com/p/technical-pminterview-how-does-tinyurl-work
Design a simple Load Balancer for Google.com,https://www.mypminterview.com/p/design-load-balancer-for-google-com
Common Mistakes to avoid while Answering Product Manager Technical Questions,https://www.mypminterview.com/p/product-technical-questions-mistakes-to-avoid
What A/B tests would you run to increase the number of messages sent and received on WhatsApp?,https://www.mypminterview.com/p/ab-test-to-increase-messages-on-whatsapp
Decide between displaying Facebook’s ‘People You May Know’ or an Advertisement?,https://www.mypminterview.com/p/facebook-people-you-may-know-or-advertisement
Common Mistakes to avoid while Answering AB Testing Questions,https://www.mypminterview.com/p/product-ab-testing-mistakes-to-avoid
How to Answer Problem Solving Questions?,https://www.mypminterview.com/p/how-to-answer-problem-solving-questions
Decline in TikTok Usage,https://www.mypminterview.com/p/product-execution-decline-in-tiktok-usage
Decline in Flipkart's Cart Additions,https://www.mypminterview.com/p/decline-in-flipkart-cart-additions
Increase in Uber Ride Cancel Rates,https://www.mypminterview.com/p/uber-lyft-ola-product-manager-interview
Decline in Facebook Groups Usage,https://www.mypminterview.com/p/problem-solving-decline-in-facebook-groups-usage
Drop in Netflix's Key Metric,https://www.mypminterview.com/p/product-execution-drop-in-netflix-key-metrics
What would you do if there is a High Acquisition but Low Retention?,https://www.mypminterview.com/p/product-execution-high-acquisition-low-retention
Common Mistakes to avoid while Answering Product Manager Problem-Solving Questions,https://www.mypminterview.com/p/problem-solving-mistakes-to-avoid
How to Answer All Types of Product Execution Questions?,https://www.mypminterview.com/p/how-to-answer-product-execution-questions?s=w
How to Answer Product Roadmap Questions?,https://www.mypminterview.com/p/how-to-answer-product-roadmap-questions
How would you prioritize new product features for Facebook?,https://www.mypminterview.com/p/prioritize-new-product-features-for-facebook
Product Roadmap: Micro-Tragedy in Ride-Sharing App,https://www.mypminterview.com/p/product-roadmap-ride-sharing-app-micro-tragedies
Which channels would you use to increase top-of-the-funnel activities for Duolingo?,https://www.mypminterview.com/p/duolingo-increase-top-of-the-funnel-activities
Should Facebook consider getting into the Travel industry?,https://www.mypminterview.com/p/product-strategy-facebook-enters-travel-industry
How would you launch Facebook's Dating Platform?,https://www.mypminterview.com/p/product-strategy-launch-facebook-dating-platform
Should Facebook consolidate its messaging apps?,https://www.mypminterview.com/p/strategy-facebook-consolidate-its-messaging-apps
What are some alternative uses for chopsticks besides eating?,https://www.mypminterview.com/p/product-ideas-alternate-use-of-chopsticks
Common Mistakes to avoid while Answering Product Strategy Questions,https://www.mypminterview.com/p/product-strategy-questions-common-mistakes
How to Answer Product Tradeoff Questions?,https://www.mypminterview.com/p/how-to-answer-product-tradeoff-questions
Decide between displaying Facebook’s ‘People You May Know’ or an Advertisement?,https://www.mypminterview.com/p/facebook-people-you-may-know-or-advertisement
Google Product Manager Interview Guide 1,https://www.mypminterview.com/p/google-product-manager-interview-guide-1
Google Product Manager Interview Guide 2,https://www.mypminterview.com/p/google-product-manager-interview-guide-2
Google Product Manager Interview Guide 3,https://www.mypminterview.com/p/google-product-manager-interview-guide-3
Facebook Product Manager Interview,https://www.mypminterview.com/p/facebook-product-manager-interview-guide-1
Facebook Product Manager Interview Guide - Part 1,https://www.mypminterview.com/p/facebook-product-manager-interview-guide-1
Facebook Product Manager Interview Guide - Part 2,https://www.mypminterview.com/p/facebook-product-manager-interview-guide-2
Chapter 1 - Why Product Growth Matters?,https://www.mypminterview.com/p/product-growth-masterclass-series
Chapter 2 - Retention: The Core of Growth Systems,https://www.mypminterview.com/p/retention-product-growth-masterclass-series
Boosting Notification Opt-in Rates by 500% through LinkedIn's Strategies,https://www.mypminterview.com/p/boosting-notification-opt-in-rates-linkedin
PM Interview Questions from your Work Experience,https://www.mypminterview.com/p/pm-interview-questions-from-your-work-experience
